"","mgi_symbol","ensembl_gene_id"
"286","Tfrc","ENSMUSG00000022797"
"287","Hcls1","ENSMUSG00000022831"
"288","Cxadr","ENSMUSG00000022865"
"289","Masp1","ENSMUSG00000022887"
"290","Cd86","ENSMUSG00000022901"
"291","Runx1","ENSMUSG00000022952"
"292","Ifnar1","ENSMUSG00000022967"
"293","Ifnar2","ENSMUSG00000022971"
"294","Sod1","ENSMUSG00000022982"
"295","Wnt10b","ENSMUSG00000022996"
"296","Slc11a2","ENSMUSG00000023030"
"297","Cxcl13","ENSMUSG00000023078"
"298","H2-M10.2","ENSMUSG00000023083"
"299","Serping1","ENSMUSG00000023224"
"300","Ccl25","ENSMUSG00000023235"
"301","Slc26a6","ENSMUSG00000023259"
"302","Cd4","ENSMUSG00000023274"
"303","Mx2","ENSMUSG00000023341"
"304","Clec4n","ENSMUSG00000023349"
"305","Tnfrsf21","ENSMUSG00000023915"
"306","Satb1","ENSMUSG00000023927"
"307","Vegfa","ENSMUSG00000023951"
"308","Tfeb","ENSMUSG00000023990"
"309","Trem2","ENSMUSG00000023992"
"310","Glo1","ENSMUSG00000024026"
"311","Eif2ak2","ENSMUSG00000024079"
"312","Twsg1","ENSMUSG00000024098"
"313","Wash1","ENSMUSG00000024101"
"314","Epas1","ENSMUSG00000024140"
"315","Msh2","ENSMUSG00000024151"
"316","C3","ENSMUSG00000024164"
"317","Map3k8","ENSMUSG00000024235"
"318","Sos1","ENSMUSG00000024241"
"319","Rock1","ENSMUSG00000024290"
"320","Myo1f","ENSMUSG00000024300"
"321","Tapbp","ENSMUSG00000024308"
"322","H2-Oa","ENSMUSG00000024334"
"323","Psmb8","ENSMUSG00000024338"
"324","Tap2","ENSMUSG00000024339"
"325","Tmem173","ENSMUSG00000024349"
"326","C2","ENSMUSG00000024371"
"327","Bag6","ENSMUSG00000024392"
"328","Aif1","ENSMUSG00000024397"
"329","Tnf","ENSMUSG00000024401"
"330","H2-M10.1","ENSMUSG00000024448"
"331","Trim26","ENSMUSG00000024457"
"332","H2-M5","ENSMUSG00000024459"
"333","Pmaip1","ENSMUSG00000024521"
"334","Ptpn2","ENSMUSG00000024539"
"335","Fech","ENSMUSG00000024588"
"336","Rps14","ENSMUSG00000024608"
"337","Cd74","ENSMUSG00000024610"
"338","Csf1r","ENSMUSG00000024621"
"339","Anxa1","ENSMUSG00000024659"
"340","Fth1","ENSMUSG00000024661"
"341","Otub1","ENSMUSG00000024767"
"342","Fas","ENSMUSG00000024778"
"343","Jak2","ENSMUSG00000024789"
"344","Il33","ENSMUSG00000024810"
"345","Lrp5","ENSMUSG00000024913"
"346","Rela","ENSMUSG00000024927"
"347","Men1","ENSMUSG00000024947"
"348","Map4k2","ENSMUSG00000024948"
"349","Gpam","ENSMUSG00000024978"
"350","Hhex","ENSMUSG00000024986"
"351","Prdx3","ENSMUSG00000024997"
"352","Hells","ENSMUSG00000025001"
"353","Pik3ap1","ENSMUSG00000025017"
"354","Trim8","ENSMUSG00000025034"
"355","Tollip","ENSMUSG00000025139"
"356","Chuk","ENSMUSG00000025199"
"357","Ldb1","ENSMUSG00000025223"
"358","Gbf1","ENSMUSG00000025224"
"359","Nfkb2","ENSMUSG00000025225"
"360","Polr3a","ENSMUSG00000025280"
"361","Rps24","ENSMUSG00000025290"
"362","Sbds","ENSMUSG00000025337"
"363","Il23a","ENSMUSG00000025383"
"364","Adam8","ENSMUSG00000025473"
"365","Ifitm1","ENSMUSG00000025491"
"366","Ifitm3","ENSMUSG00000025492"
"367","Irf7","ENSMUSG00000025498"
"368","Chid1","ENSMUSG00000025512"
"369","Crcp","ENSMUSG00000025532"
"370","Tnrc6c","ENSMUSG00000025571"
"371","Podxl","ENSMUSG00000025608"
"372","Hprt","ENSMUSG00000025630"
"373","42071","ENSMUSG00000025702"
"374","Il6","ENSMUSG00000025746"
"375","Ly96","ENSMUSG00000025779"
"376","Ccr1","ENSMUSG00000025804"
"377","Itgb1","ENSMUSG00000025809"
"378","Dhtkd1","ENSMUSG00000025815"
"379","Fam20c","ENSMUSG00000025854"
"380","Cplx2","ENSMUSG00000025867"
"381","Snca","ENSMUSG00000025889"
"382","Hspd1","ENSMUSG00000025980"
"383","Slc40a1","ENSMUSG00000025993"
"384","Cd28","ENSMUSG00000026012"
"385","Casp8","ENSMUSG00000026029"
"386","Il18r1","ENSMUSG00000026070"
"387","Stat1","ENSMUSG00000026104"
"388","Nhej1","ENSMUSG00000026162"
"389","Ccl20","ENSMUSG00000026166"
"390","Slc11a1","ENSMUSG00000026177"
"391","Cxcr2","ENSMUSG00000026180"
"392","Xrcc5","ENSMUSG00000026187"
"393","Inpp5d","ENSMUSG00000026288"
"394","Tnfrsf11a","ENSMUSG00000026321"
"395","Cfh","ENSMUSG00000026365"
"396","Ptprc","ENSMUSG00000026395"
"397","Cd55","ENSMUSG00000026399"
"398","C4bp","ENSMUSG00000026405"
"399","Pigr","ENSMUSG00000026417"
"400","Mr1","ENSMUSG00000026471"
"401","Ahctf1","ENSMUSG00000026491"
